Group A,vs. Group B,Top 10 Relative Traits,Average Valence
吉林,广东,"警惕, 恒心, 祥和, 努力, 脾气, 邪念, 耐心, 谦卑, 宽恕, 谨慎",0.832
吉林,广西,"恒心, 利己, 达观, 警惕, 诚实, 晦涩, 谨慎, 谦卑, 友好, 和善",0.956
吉林,新疆,"平常心, 泰然, 听天由命, 恒心, 知足常乐, 达观, 鼎力相助, 急躁, 木讷, 节制",0.704
吉林,江苏,"拚搏, 朴实无华, 迷信, 祥和, 悔改, 土气, 朴实, 诙谐, 利己, 纯正",0.717
吉林,江西,"完美, 恒心, 品质, 纯正, 实用, 耐心, 邪恶, 友好, 温柔, 美德",1.371
吉林,河北,"浪漫, 迷信, 懒虫, 粗心, 拚搏, 细心, 短见, 耐心, 平常心, 情绪化",0.087
吉林,河南,"拚搏, 细心, 浪漫, 细腻, 极端, 恒心, 仔细, 专心致志, 手巧, 细致",1.288
吉林,浙江,"祥和, 纯正, 滑稽, 淫乱, 冒失, 土气, 暴躁, 迷信, 极端, 古怪",-0.757
吉林,海南,"友爱, 耐心, 恒心, 幽默, 诚信, 实用, 诚实, 博爱, 本分, 诙谐",1.606
吉林,湖北,"完美, 拚搏, 恒心, 品质, 祥和, 独特, 努力, 仔细, 华丽, 缺德",1.345
吉林,湖南,"朴实无华, 单调, 祥和, 恒心, 功德, 灰心, 迷信, 顺手牵羊, 慈悲, 古怪",0.221
吉林,澳门,"本分, 木讷, 缺德, 文静, 朴实, 脾气, 牛脾气, 恒心, 刚强, 秉性",0.23
吉林,甘肃,"幽默, 实用, 浪漫, 恒心, 纯正, 完美, 品质, 癖好, 平常心, 诚信",1.455
吉林,福建,"恒心, 完美, 淘气, 幽默, 耐心, 诚实, 奔放, 诙谐, 朴实无华, 品质",1.427
吉林,西藏,"口才, 灰心, 准时, 上进, 努力, 诚信, 实干, 耐心, 拚搏, 信心",1.491
吉林,贵州,"拚搏, 恒心, 努力, 平常心, 邪恶, 祥和, 本能, 温柔, 刚强, 刚毅",1.241
吉林,辽宁,"迷信, 手巧, 性急, 别出心裁, 品质, 心不在焉, 乖僻, 品味, 优雅, 小心",0.356
吉林,重庆,"拚搏, 缺德, 古怪, 努力, 迷信, 消极, 疏忽, 警惕, 滑稽, 仔细",-0.264
吉林,陕西,"拚搏, 迷信, 平常心, 知足常乐, 完美, 诚实, 消极, 友爱, 癖好, 恒心",0.885
吉林,青海,"口才, 幽默, 以牙还牙, 素质, 好学, 诙谐, 知足常乐, 缺德, 迷信, 准时",0.459
吉林,香港,"本分, 牛脾气, 文静, 木讷, 恒心, 友爱, 单调, 灰心, 粗心, 急躁",-0.172
吉林,黑龙江,"远见, 平常心, 逢迎, 知足常乐, 随机应变, 美德, 忠孝, 达观, 泰然, 进取",1.557
四川,上海,"谋反, 骁勇, 忠义, 谋略, 豪迈, 仁义, 野心, 好大喜功, 忠烈, 爱民如子",0.932
四川,东北,"忠烈, 忠孝, 辩才, 拖延, 杰出, 舍得, 功德, 重蹈覆辙, 短见, 非凡",0.795
四川,云南,"团结, 鬼才, 专一, 幽默, 口才, 谋略, 仁爱, 齐心, 志愿, 守约",1.52
四川,内蒙古,"忠孝, 忠烈, 鬼才, 仁义, 乐天, 泰然, 谋略, 辩才, 中庸, 舍得",1.336
四川,北京,"贪欲, 逞强, 鬼才, 豪放, 豪迈, 悲天悯人, 谋略, 贪心, 虔诚, 忠烈",0.303
四川,台湾,"豪爽, 寒微, 洒脱, 骁勇, 豪迈, 豪放, 癫狂, 耿直, 舍得, 谨慎",0.845
四川,吉林,"守约, 忠烈, 仁义, 鬼才, 忠义, 闻风丧胆, 忠孝, 舍得, 谋反, 昏庸",0.79
四川,天津,"谋略, 果敢, 守约, 短见, 忠烈, 谋反, 忠孝, 贪欲, 虔诚, 功德",0.698
四川,宁夏,"辩才, 鬼才, 仁义, 谋略, 团结, 叛逆, 独善其身, 忠孝, 忠烈, 风流",1.003
四川,安徽,"团结, 乐天, 叛逆, 独特, 上下一心, 野心, 独一无二, 舍得, 独善其身, 独裁",0.568
四川,山东,"泰然, 果敢, 恣意, 糜烂, 鬼才, 舍得, 癫狂, 明朗, 达观, 才能",0.636
四川,山西,"团结, 纯真, 纯情, 专注, 守约, 单纯, 花里胡哨, 叛逆, 泰然, 依恋",0.954
四川,广东,"敢于, 贪欲, 野心, 骄横, 悲天悯人, 谨慎, 小心翼翼, 算计, 谋略, 忸怩",-0.386
四川,广西,"舍得, 团结, 谦让, 谨慎, 达观, 豪爽, 野心, 辩才, 悲天悯人, 独善其身",0.875
四川,新疆,"忠孝, 忠烈, 节制, 逞强, 忠义, 泰然, 独善其身, 谋略, 舍得, 拘泥",0.815
四川,江苏,"团结, 好大喜功, 忠义, 慈悲, 仁义, 豪迈, 叛逆, 耿直, 忠孝, 淫乱",0.78
四川,江西,"团结, 随便, 完美, 野心, 乐天, 温柔, 沉默, 友好, 脆弱, 单纯",0.765
四川,河北,"鬼才, 短见, 浪漫, 含蓄, 豪放, 舍得, 乐天, 小气, 虔诚, 团结",0.813
四川,河南,"舍得, 拿手, 专心致志, 浪漫, 成熟, 熟练, 独特, 爽快, 铁汉, 细腻",1.384
四川,浙江,"好大喜功, 谋反, 铁汉, 虚张声势, 守约, 刚愎自用, 癫狂, 醇厚, 豪迈, 淫乱",-0.473
四川,海南,"团结, 谦让, 果断, 叛逆, 猜忌, 幽默, 谨慎, 信任, 矜持, 仁义",1.085
四川,湖北,"独特, 野心, 节制, 舍得, 鬼才, 谋略, 幽雅, 豪放, 叛逆, 风流",0.452
四川,湖南,"功德, 虔诚, 慈悲, 善恶, 舍得, 吹牛, 贪欲, 骁勇, 虚张声势, 单调",0.286
四川,澳门,"耿直, 豪爽, 豪迈, 文静, 舍得, 豪放, 寡言, 专一, 忍心, 厚道",1.037
四川,甘肃,"幽默, 纯情, 浪漫, 鬼才, 单纯, 勾心斗角, 团结, 专注, 乐天, 风趣",1.136
四川,福建,"豪放, 团结, 坦率, 豪迈, 矜持, 豪爽, 妩媚, 洒脱, 幽默, 冷酷",1.16
四川,西藏,"远见, 进取, 口才, 鬼才, 谋略, 锐气, 上下一心, 才华, 谦虚, 信心",1.46
四川,贵州,"谋略, 锐气, 沉默, 志向, 无情, 辩才, 野心, 仁义, 猜忌, 忠烈",0.424
四川,辽宁,"鬼才, 舍得, 守约, 小心翼翼, 慢条斯理, 辩才, 天才, 忠孝, 拘泥, 薄情",0.665
四川,重庆,"骁勇, 谋略, 寒微, 忠烈, 谋反, 气节, 善恶, 忠义, 正派, 蠢材",0.49
四川,陕西,"鬼才, 乐天, 浪漫, 舍得, 才能, 达观, 专一, 幽默, 浮夸, 坦率",1.152
四川,青海,"鬼才, 谋略, 幽默, 闻风丧胆, 口才, 诡辩, 独善其身, 辩才, 随机应变, 心计",0.433
四川,香港,"耿直, 豪放, 豪爽, 专一, 文静, 豪迈, 忍心, 谦让, 志向, 拿手",1.398
四川,黑龙江,"忠孝, 忠烈, 仁义, 谋略, 辩才, 拘泥, 忠义, 贤良, 远见, 进取",1.6
天津,上海,"吹牛, 夸口, 祥和, 拍马屁, 硬汉, 意气风发, 吹嘘, 硬朗, 严肃, 据为己有",0.029
天津,东北,"心不在焉, 涣散, 锐意, 可靠, 拚命, 仁爱, 完美, 灰心, 坚持, 非凡",0.683
天津,云南,"口才, 倚老卖老, 仁爱, 内向, 博爱, 素质, 诚信, 幽默, 泼妇, 外向",0.577
天津,内蒙古,"倚老卖老, 乐天, 从良, 泰然, 八面玲珑, 堂皇, 浪漫, 中庸, 幼稚, 口才",0.365
天津,北京,"逞强, 拚命, 冲劲, 忘我, 下流, 害羞, 主动, 矜持, 知足常乐, 热情洋溢",0.466
天津,台湾,"硬朗, 絮叨, 踏实, 铁汉, 仁爱, 拘束, 恒心, 急躁, 脾气, 健谈",0.618
天津,吉林,"倚老卖老, 从良, 据理力争, 泼妇, 挑剔, 招摇, 唠叨, 拘束, 坚持, 古板",-0.534
天津,四川,"倚老卖老, 准时, 坚持, 内向, 素质, 别扭, 活跃, 从良, 口才, 硬朗",0.478
天津,宁夏,"口才, 八面玲珑, 健谈, 从良, 幽默, 内向, 圆滑, 绅士, 蹩脚, 体面",0.503
天津,安徽,"纯正, 乐天, 品质, 祥和, 堂皇, 情绪化, 仁爱, 团结, 完美, 独一无二",1.27
天津,山东,"泰然, 祥和, 浪漫, 健忘, 堂皇, 可靠, 从良, 人情味, 豁出去, 坦承",0.932
天津,山西,"准时, 完美, 浪漫, 从良, 细腻, 博爱, 纯正, 幼稚, 怀旧, 流畅",1.111
天津,广东,"脾气, 絮叨, 忸怩, 细腻, 气量, 唠叨, 坚持, 祥和, 短处, 口才",0.222
天津,广西,"絮叨, 唠叨, 仁爱, 健谈, 幽默, 口才, 童叟无欺, 脾气, 细腻, 别扭",0.521
天津,新疆,"泰然, 晚节, 豁出去, 八面玲珑, 拘束, 寡言, 节制, 倚老卖老, 镇定, 絮叨",-0.077
天津,江苏,"纯正, 堂皇, 祥和, 硬汉, 细腻, 怀旧, 气派, 硬朗, 媚俗, 黑心",0.505
天津,江西,"完美, 纯正, 坚持, 品质, 细腻, 脆弱, 别扭, 乐天, 随便, 口才",0.783
天津,河北,"浪漫, 乐天, 怀旧, 从良, 细腻, 拜金, 唠叨, 准时, 殷勤, 人情味",0.543
天津,河南,"细腻, 浪漫, 从良, 纯正, 灵活, 坚持, 细致, 乐天, 成熟, 专心致志",1.457
天津,浙江,"纯正, 铁汉, 祥和, 细腻, 脆弱, 堂皇, 害羞, 滑稽, 别扭, 迎合",0.194
天津,海南,"可靠, 内向, 仁爱, 博爱, 幽默, 口才, 体面, 纯正, 诚信, 准时",1.317
天津,湖北,"从良, 完美, 素质, 坚持, 口才, 品质, 堂皇, 浪漫, 纯正, 挑剔",0.974
天津,湖南,"别扭, 纯正, 脾气, 吹牛, 细腻, 絮叨, 完美, 挑剔, 祥和, 唠叨",0.107
天津,澳门,"絮叨, 脾气, 木讷, 文静, 泼妇, 唠叨, 寡言, 老实, 本分, 德行",-0.354
天津,甘肃,"纯正, 幽默, 浪漫, 口才, 童叟无欺, 绅士, 内向, 倚老卖老, 素质, 完美",0.943
天津,福建,"口才, 幽默, 完美, 细腻, 浪漫, 脾气, 活泼, 坚持, 拘束, 准时",1.092
天津,西藏,"口才, 倚老卖老, 准时, 泼妇, 上进, 素质, 诚信, 唠叨, 内向, 信誉",0.367
天津,贵州,"口才, 泼妇, 从良, 幽默, 宁静, 道义, 八面玲珑, 仁爱, 泰然, 细腻",0.952
天津,辽宁,"心不在焉, 拘束, 八面玲珑, 健忘, 纯正, 口才, 乐天, 幽雅, 扯谎, 慢条斯理",0.045
天津,重庆,"素质, 滑稽, 纯正, 滥竽充数, 坚持, 完美, 优秀, 口才, 努力, 别扭",0.719
天津,陕西,"从良, 浪漫, 完美, 博爱, 乐天, 内向, 纯正, 坦承, 素质, 外向",1.134
天津,青海,"口才, 素质, 幽默, 准时, 内向, 泼妇, 八面玲珑, 诡辩, 倚老卖老, 从良",-0.025
天津,香港,"牛脾气, 絮叨, 木讷, 文静, 健谈, 专一, 脾气, 本分, 恒心, 仁爱",0.508
天津,黑龙江,"奉承, 口才, 八面玲珑, 逢迎, 堂皇, 变通, 拘泥, 仁爱, 随机应变, 拘束",0.143
宁夏,上海,"谋反, 豪迈, 意气风发, 骁勇, 踌躇满志, 坚毅, 刚毅, 温和, 凝重, 虔诚",1.159
宁夏,东北,"涣散, 锐意, 恍惚, 悔恨, 无悔, 失信, 鞭策, 心不在焉, 踌躇, 笃定",-0.411
宁夏,云南,"鞭策, 仁爱, 硬汉, 健忘, 低能, 博爱, 卓越, 锐意, 诚信, 理性",0.947
宁夏,内蒙古,"锐意, 人情味, 乐天, 健忘, 泰然, 善忘, 远见, 知足常乐, 卓越, 达观",1.066
宁夏,北京,"逞强, 贪欲, 贪心, 悔恨, 冲动, 豪迈, 虔诚, 守望相助, 贪婪, 见义勇为",-0.233
宁夏,台湾,"豪爽, 癫狂, 豪迈, 寒微, 鞭策, 骁勇, 铁汉, 坚毅, 悔恨, 洒脱",0.655
宁夏,吉林,"涣散, 招摇, 依赖, 糜烂, 守约, 笃定, 意气风发, 恣意, 脆弱, 醇厚",-0.044
宁夏,四川,"惰性, 恍惚, 涣散, 卓越, 挥霍, 呆滞, 健忘, 坚持, 鞭策, 柔和",-0.253
宁夏,天津,"虔诚, 果敢, 贪欲, 守望相助, 残忍, 谋反, 豪迈, 贪婪, 使命感, 贪心",-0.191
宁夏,安徽,"祥和, 锐意, 品质, 独一无二, 乐天, 奢侈, 独特, 纯正, 惰性, 脆弱",0.575
宁夏,山东,"恣意, 健忘, 淡漠, 祥和, 无悔, 涣散, 挥霍, 感性, 慵懒, 糜烂",-0.508
宁夏,山西,"独立, 纯洁, 依恋, 感性, 卓越, 敏感, 细腻, 坚强, 恣意, 健忘",0.918
宁夏,广东,"贪婪, 坚毅, 忸怩, 警惕, 贪欲, 天真无邪, 怯懦, 无悔, 敢于, 胆怯",-0.065
宁夏,广西,"守望相助, 贪婪, 旗帜鲜明, 惰性, 条理, 锐意, 仁爱, 柔和, 踌躇满志, 絮叨",0.535
宁夏,新疆,"逞强, 节制, 镇静, 失信, 淡漠, 悔恨, 笃定, 泰然, 守信, 成竹在胸",0.21
宁夏,江苏,"硬汉, 祥和, 朴实无华, 招摇, 廉洁, 醇厚, 豪迈, 糜烂, 铁汉, 正气",1.012
宁夏,江西,"脆弱, 坚持, 温柔, 完美, 品质, 细腻, 实用, 纯正, 独立, 坚强",1.405
宁夏,河北,"奢侈, 感性, 懒虫, 依赖, 慵懒, 依恋, 人情味, 敏感, 溺爱, 浪漫",-0.078
宁夏,河南,"细腻, 敏感, 铁汉, 温柔, 细心, 依赖, 温驯, 奢侈, 淡漠, 灵活",0.469
宁夏,浙江,"铁汉, 脆弱, 祥和, 癫狂, 醇厚, 温驯, 硬汉, 涣散, 贪婪, 失约",-0.168
宁夏,海南,"仁爱, 可靠, 博爱, 忠诚, 条理, 信任, 友爱, 诚信, 锐意, 耐心",1.759
宁夏,湖北,"奢侈, 挥霍, 坚持, 品质, 祥和, 惰性, 卓越, 柔和, 大胆, 独立",0.636
宁夏,湖南,"虔诚, 祥和, 铁汉, 功德, 朴实无华, 硬汉, 细腻, 柔和, 善恶, 顺手牵羊",1.036
宁夏,澳门,"文静, 本分, 木讷, 豪迈, 豪爽, 絮叨, 耿直, 厚道, 倔强, 寡言",0.593
宁夏,甘肃,"卓越, 童叟无欺, 实用, 品质, 人情味, 体贴入微, 浪漫, 博爱, 诚信, 仁爱",1.732
宁夏,福建,"妩媚, 坚强, 倔强, 豪迈, 忸怩, 癫狂, 无悔, 脆弱, 细腻, 真挚",0.512
宁夏,西藏,"锐意, 卓越, 信心, 冲劲, 意气风发, 上进, 幸灾乐祸, 进取, 远见, 灰心",1.106
宁夏,贵州,"温柔, 坚毅, 踌躇满志, 刚毅, 意气风发, 淡漠, 坚定, 恍惚, 本能, 柔弱",0.927
宁夏,辽宁,"健忘, 漫不经心, 涣散, 淡漠, 奢侈, 慢条斯理, 心不在焉, 贪婪, 醇厚, 恣意",-0.751
宁夏,重庆,"恍惚, 柔和, 温和, 呆滞, 涣散, 坚定, 卓越, 坚毅, 忠诚, 骁勇",0.933
宁夏,陕西,"知足常乐, 健忘, 体贴入微, 卓越, 博爱, 懒虫, 低能, 品质, 童叟无欺, 感性",0.655
宁夏,青海,"卓越, 锐意, 一针见血, 变通, 可靠, 知足, 进取, 尖酸, 知足常乐, 以牙还牙",0.935
宁夏,香港,"文静, 本分, 鞭策, 牛脾气, 木讷, 专一, 豪迈, 豪爽, 豪放, 耿直",0.855
宁夏,黑龙江,"进取, 远见, 忠孝, 拘泥, 踌躇满志, 墨守成规, 依从, 鞭策, 上下一心, 忠烈",1.111
安徽,上海,"慌忙, 慌张, 刚毅, 谋反, 迟疑, 腼腆, 坚毅, 谄媚, 忸怩, 夸口",-0.398
安徽,东北,"慌张, 慌忙, 匆忙, 拚命, 灰心, 心不在焉, 称职, 杰出, 踌躇, 见义勇为",0.117
安徽,云南,"恩爱, 健谈, 口才, 泼妇, 倚老卖老, 上进, 古板, 局促, 粗心, 据理力争",0.063
安徽,内蒙古,"倚老卖老, 殷勤, 体贴入微, 见义勇为, 流氓, 恩爱, 粗枝大叶, 明理, 挺身而出, 廉耻",0.586
安徽,北京,"见义勇为, 逞强, 粗枝大叶, 慌张, 恶霸, 邪念, 文静, 贪欲, 痴心, 体贴入微",-0.436
安徽,台湾,"慌张, 寒微, 豪爽, 体贴入微, 文静, 机智, 慌忙, 灰心, 见义勇为, 洒脱",0.554
安徽,吉林,"恶霸, 流氓, 招摇, 迂腐, 薄情, 风度翩翩, 大义凛然, 据理力争, 体贴入微, 慌忙",-0.405
安徽,四川,"体贴入微, 财迷心窍, 粗枝大叶, 见义勇为, 笨拙, 风度翩翩, 端正, 局促, 殷勤, 上进",0.547
安徽,天津,"粗枝大叶, 狠心, 粗心, 见义勇为, 短见, 慌张, 心狠手辣, 武断, 清贫, 恶霸",-1.009
安徽,宁夏,"健谈, 端正, 斯文, 殷勤, 猥琐, 娴熟, 渊博, 辩才, 风趣, 流氓",0.629
安徽,山东,"体贴入微, 粗枝大叶, 漠视, 悉心, 敷衍了事, 粗心, 恣意, 阔绰, 怕羞, 痴心",-0.288
安徽,山西,"体贴入微, 细心, 猥琐, 见义勇为, 殷勤, 粗枝大叶, 体贴, 流氓, 风骚, 敏捷",0.192
安徽,广东,"忸怩, 慌忙, 体贴入微, 慌张, 矜持, 警惕, 邪念, 殷勤, 小心翼翼, 谄媚",-0.419
安徽,广西,"健谈, 殷勤, 体贴入微, 忸怩, 笨拙, 谦让, 局促, 絮叨, 慢条斯理, 拘谨",0.164
安徽,新疆,"体贴入微, 木讷, 粗枝大叶, 局促, 廉耻, 慌张, 从容不迫, 逞强, 镇静, 明察秋毫",0.172
安徽,江苏,"朴实, 悔改, 朴实无华, 招摇, 硬汉, 正直, 花里胡哨, 恶霸, 朴素, 粗枝大叶",0.193
安徽,江西,"温柔, 体贴入微, 流氓, 体贴, 柔弱, 猥琐, 灰心, 细心, 矜持, 一心一意",0.281
安徽,河北,"粗枝大叶, 体贴入微, 殷勤, 细心, 体贴, 矜持, 懒虫, 慢条斯理, 赖皮, 粗心",0.086
安徽,河南,"细心, 体贴入微, 粗枝大叶, 体贴, 专心致志, 熟练, 灵巧, 慢条斯理, 细致, 敏锐",1.255
安徽,浙江,"笨拙, 忸怩, 慌忙, 腼腆, 粗鲁, 木讷, 讨好, 小心翼翼, 害羞, 矜持",-0.548
安徽,海南,"矜持, 木讷, 谦让, 猥琐, 幽默, 廉耻, 老实, 腼腆, 忍让, 本分",0.269
安徽,湖北,"流氓, 花枝招展, 殷勤, 熟练, 端正, 仔细, 慢条斯理, 投机, 猥琐, 细心",0.048
安徽,湖南,"慌忙, 笨拙, 邪念, 灰心, 安分, 顺手牵羊, 絮叨, 半信半疑, 朴实无华, 平凡",-0.591
安徽,澳门,"文静, 木讷, 本分, 絮叨, 笨拙, 粗枝大叶, 厚道, 狠心, 豪爽, 朴实",0.137
安徽,甘肃,"体贴入微, 健谈, 幽默, 斯文, 体贴, 流氓, 粗枝大叶, 见义勇为, 明察秋毫, 细心",1.046
安徽,福建,"忸怩, 矜持, 体贴入微, 妩媚, 花枝招展, 流氓, 局促, 殷勤, 笨拙, 文静",-0.185
安徽,西藏,"上进, 泼妇, 倚老卖老, 健谈, 口才, 流氓, 灰心, 殷勤, 斯文, 慌张",-0.324
安徽,贵州,"流氓, 慌忙, 恩爱, 文静, 泼妇, 风度翩翩, 柔弱, 斯文, 刚毅, 体贴入微",0.404
安徽,辽宁,"慢条斯理, 装模作样, 粗枝大叶, 慌忙, 殷勤, 拚命, 忸怩, 怕羞, 局促, 心不在焉",-0.535
安徽,重庆,"寒微, 端正, 慌忙, 清贫, 廉耻, 敏捷, 正派, 坚决, 粗枝大叶, 半信半疑",0.286
安徽,陕西,"体贴入微, 粗枝大叶, 体贴, 健谈, 细心, 粗心, 坦承, 阔绰, 从良, 坦白",0.763
安徽,青海,"体贴入微, 幽默, 口才, 流氓, 泼妇, 上进, 才华横溢, 据理力争, 健谈, 风趣",0.901
安徽,香港,"文静, 木讷, 本分, 牛脾气, 健谈, 体贴入微, 腼腆, 专一, 谦让, 粗枝大叶",0.606
安徽,黑龙江,"体贴入微, 拘泥, 墨守成规, 雄辩, 装模作样, 忠孝, 逢迎, 忠烈, 殷勤, 奉承",0.172
山东,上海,"骁勇, 忠义, 仁义, 爱民如子, 谋反, 英明, 慌忙, 拍马屁, 背弃, 野心",0.426
山东,东北,"不忍, 迟疑, 杰出, 忠孝, 仁爱, 慌张, 忠烈, 慌忙, 失信, 公义",0.579
山东,云南,"仁爱, 口才, 素质, 贬低, 短处, 优秀, 德行, 歧视, 耐力, 偏心",0.133
山东,内蒙古,"仁义, 忠孝, 德行, 中庸, 君子, 忠烈, 斯文, 忠义, 好胜心, 贤良",1.397
山东,北京,"悲天悯人, 骁勇, 仁慈, 好胜心, 鲁莽, 志向, 见义勇为, 贪欲, 胸怀, 爱民如子",0.706
山东,台湾,"骁勇, 豪爽, 博学, 怠慢, 寒微, 志向, 仁爱, 豪迈, 慌张, 耐力",0.856
山东,吉林,"仁义, 忠义, 迂腐, 斯文, 背信弃义, 爱民如子, 骁勇, 敬重, 贤良, 忠烈",1.237
山东,四川,"素质, 耐力, 品行, 混蛋, 嫉妒, 背弃, 古板, 偏心, 优秀, 短处",-0.38
山东,天津,"仁慈, 忘恩负义, 爱民如子, 骁勇, 英明, 鲁莽, 贤良, 野蛮, 仁义, 忠义",0.857
山东,宁夏,"斯文, 仁义, 德行, 辩才, 口才, 渊博, 博学, 冒昧, 素质, 德高望重",1.149
山东,安徽,"仁爱, 效忠, 团结, 骄傲, 野心, 美德, 忠义, 中立, 素质, 野蛮",0.875
山东,山西,"仁爱, 斯文, 歧视, 猥琐, 敏捷, 善良, 独立, 变态, 素质, 邪恶",-0.084
山东,广东,"短处, 脾气, 德行, 仁慈, 贪婪, 野心, 悲天悯人, 贤良, 骄傲, 谄媚",-0.432
山东,广西,"尊敬, 短处, 博学, 仁爱, 德行, 谦让, 斯文, 脾气, 悲天悯人, 仁义",0.794
山东,新疆,"忠孝, 君子, 忠义, 斯文, 仁义, 志向, 敬重, 迂腐, 谦让, 沽名钓誉",1.188
山东,江苏,"仁义, 忠义, 硬汉, 好客, 爱民如子, 粗野, 骁勇, 公义, 背信弃义, 短处",0.929
山东,江西,"美德, 仁爱, 骄傲, 耐力, 脾气, 君子, 完美, 变态, 嫉妒, 邪恶",0.216
山东,河北,"伟大, 好客, 美德, 粗鲁, 热情, 心直口快, 殷勤, 仁慈, 豪放, 斯文",1.084
山东,河南,"铁汉, 变态, 本能, 斯文, 仔细, 冷静, 优秀, 细腻, 骄傲, 迟疑",0.556
山东,浙江,"骄傲, 好色, 粗野, 小人, 骁勇, 铁汉, 粗鲁, 背弃, 私心, 仁义",-0.472
山东,海南,"仁爱, 谦让, 果断, 忠诚, 尊敬, 仁义, 中庸, 斯文, 德行, 鄙视",1.111
山东,湖北,"素质, 美德, 短处, 优秀, 脾气, 君子, 贤良, 流氓, 野心, 变态",0.174
山东,湖南,"脾气, 吹牛, 骁勇, 背弃, 效忠, 趁火打劫, 性情, 虔诚, 功德, 君子",0.298
山东,澳门,"本分, 德行, 豪爽, 脾气, 文静, 耿直, 秉性, 缺德, 牛脾气, 博学",0.403
山东,甘肃,"斯文, 素质, 优秀, 冒昧, 仁爱, 口才, 绅士, 讨厌, 博学, 混蛋",0.592
山东,福建,"骄傲, 脾气, 君子, 短处, 尊敬, 性情, 豪爽, 嫉妒, 耐力, 骁勇",0.499
山东,西藏,"口才, 优秀, 斯文, 鄙视, 素质, 混蛋, 上进, 偏心, 刻薄, 泼妇",-0.163
山东,贵州,"斯文, 德行, 志向, 嫉妒, 混蛋, 中立, 贤良, 仁义, 背弃, 骁勇",0.359
山东,辽宁,"斯文, 仁义, 嫉妒, 卑鄙, 性急, 美德, 君子, 仁慈, 多嘴, 奉承",0.15
山东,重庆,"优秀, 骁勇, 败类, 卑鄙, 素质, 英明, 迂腐, 品行, 背信弃义, 中立",-0.112
山东,陕西,"素质, 讨厌, 美德, 仁爱, 歧视, 斯文, 优秀, 短处, 中立, 专一",0.474
山东,青海,"素质, 口才, 以牙还牙, 谋略, 优秀, 鄙视, 短处, 斯文, 才华横溢, 诡辩",0.234
山东,香港,"牛脾气, 本分, 博学, 耿直, 专一, 谦让, 志向, 文静, 豪爽, 脾气",1.06
山东,黑龙江,"仁义, 忠孝, 贤良, 奉承, 忠义, 忠烈, 爱民如子, 英明, 谋略, 阿谀奉承",1.245
山西,上海,"骁勇, 谋反, 好大喜功, 谋略, 爱民如子, 刚毅, 忠义, 踌躇满志, 夸口, 凝重",0.57
山西,东北,"重蹈覆辙, 忠烈, 杰出, 拖延, 非凡, 涣散, 功德, 失信, 忠孝, 称职",0.565
山西,云南,"牛脾气, 气量, 口才, 硬汉, 短处, 才华, 古板, 墨守成规, 毛遂自荐, 才气",0.313
山西,内蒙古,"忠烈, 忠孝, 谋略, 迂腐, 锐气, 堂皇, 远见, 好胜心, 正派, 不凡",0.933
山西,北京,"骁勇, 才干, 锐气, 谋略, 好胜心, 忠烈, 爱民如子, 自满, 猜忌, 好胜",0.737
山西,台湾,"寒微, 骁勇, 豪爽, 坚毅, 刚毅, 牛脾气, 怠慢, 胆识, 耿直, 豪迈",0.908
山西,吉林,"忠烈, 迂腐, 猜忌, 气量, 骁勇, 谋反, 爱民如子, 招摇, 昏庸, 古板",-0.22
山西,四川,"古板, 惰性, 牛脾气, 品行, 风度翩翩, 气量, 陈腐, 才干, 上进, 迂腐",-0.028
山西,天津,"谋略, 骁勇, 忠烈, 谋反, 爱民如子, 功德, 英明, 好大喜功, 杰出, 陋习",0.852
山西,宁夏,"辩才, 才华, 才华横溢, 才干, 才气, 谋略, 渊博, 正派, 天资, 气量",1.553
山西,安徽,"气量, 重蹈覆辙, 好大喜功, 独一无二, 上下一心, 功德, 堂皇, 刚愎自用, 骁勇, 滥竽充数",0.016
山西,山东,"气量, 堂皇, 陋习, 招摇, 重蹈覆辙, 乘虚而入, 舞弊, 敷衍了事, 庸碌, 涣散",-1.284
山西,广东,"气量, 短处, 脾气, 才干, 雍容, 坚毅, 猜忌, 忸怩, 算计, 退缩",-0.112
山西,广西,"气量, 短处, 牛脾气, 脾气, 古板, 毛遂自荐, 猜忌, 凝重, 重蹈覆辙, 本分",-0.54
山西,新疆,"气量, 忠烈, 忠孝, 拖延, 庸碌, 迂腐, 沽名钓誉, 退缩, 谋略, 决断",-0.076
山西,江苏,"好大喜功, 气量, 硬汉, 堂皇, 骁勇, 刚愎自用, 正派, 牛脾气, 爱民如子, 气派",0.414
山西,江西,"气量, 脾气, 雍容, 短处, 耐力, 坚持, 毛遂自荐, 骁勇, 信心, 野心",0.713
山西,河北,"节俭, 陋习, 奢侈, 娇生惯养, 耿直, 小气, 虔诚, 拍马屁, 雍容, 魄力",0.103
山西,河南,"坚毅, 刚毅, 锐气, 凝重, 魄力, 胆识, 雍容, 非凡, 威风凛凛, 气量",1.094
山西,浙江,"好大喜功, 刚愎自用, 骁勇, 雍容, 硬汉, 谋反, 私心, 凝重, 气量, 猜忌",-0.456
山西,海南,"气量, 猜忌, 本分, 牛脾气, 呆板, 脾气, 古板, 谋略, 木讷, 锐气",-0.417
山西,湖北,"短处, 陋习, 雍容, 气量, 堂皇, 脾气, 不凡, 投机, 谋略, 惰性",-0.195
